1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.



1406. Practical fluids possess



1407. The depth of the centre of pressure on a vertical rectangular gate (4 m wide, 3 m high) with water upto top surface, is
	Abhay, 2016, The center of pressure is located at the centroid of the rectangular shaped pressure field 2/3 from the top of the water line. $%  $% b = 4 m, d = 3 m. $%  $% Center of pressure = 2/3 d = (2/3)*3 = 2.0 m.
	Dinesh Prasad Sao, 2017, 2/3 height if water is full, if not full then it's 5 of water.
	Bhoopender, 2018, Centre of pressure = I/ax+x. $% I= bd3/12. $% a=bd. $% x=d/2.
	Zuala, 2018, No @Abhay. $%  $% The centroid formula is for rectangle d/2.
	Utsav, 2018, 2h/3 from top.
	Aadarsh Devkate, 2019, @All. $%  $% It's very simple $% Gate is vertical. $% Means H = 4m. $% D/2 = 4/2 = 2.
	Aadarsh Devkate, 2019, Center of pressure = 2h/3 = 2 (3)/3 = 2m.
	Pavi, 2019, Here we can use (Ig/Ax)+x.
	Muhammad Atiq, 2019, @Aadarsh. $%  $% 4m isn't height its width of gate H = 3m.
	M.Atiq, 2019, Center of pressure is always below the centre of gravity and CG is located at point H/2 = 1.5m so simply we can make an idea that it will be at 2m.
	Salahuddin, 2019, CG equals CP when water surface coincides the body surface. Therefore cg=cp=3/2=1.5. $%  $% Am I right?
	Santhosh, 2019, Depth of center of gravity,  $%  $% H = 2h/3 $%    = 2*3 / 3 $%     = 2 m.
	Imran, 2020, Area = b*d. $% CG (y)= d/2. $% Ig = bd3/12. $% Center of pressure = y + Ig/Ay.
	Sanku, 2020, It is 2.5.
	Dipunku, 2020, It should be 2.5.



1408. The differential equation dp/ρ + gdz + vdv = 0 for a fluid motion is suggested by
	Epcet, 2018, Laplace is right.
	Shubham, 2018, Yes, it could be laplace.
	Duhan, 2018, Euler is the right answer. I agree.
	Hisham, 2020, Euler equation.
	Pavan, 2020, Yes, it is Euler Equation.



1409. An open container filled with water is moved vertically downward with a uniform linear acceleration. The pressure at its bottom will be
	Priya, 2018, Here, P=ρ(g-a)h downward.



1410. For uniform flow in canals



1411. If H is height of the liquid above the sill, the effect of end contractions, according to Francis formula, is
	Deepak Bisht, 2018, The width of side contract weir.  $% b=.1H.
	Utsav, 2018, On both sides, it is 0.2 H.
	Shivani, 2018, Thanks @Utsav.
	Krishna, 2021, Explain the given answer.



1412. Pick up the correct statement from the following :



1413. The velocity of flow (v) at the outlet of a syphon of length l, is given by



1414. In flowing liquids pitot tubes are used measure
	Deepu, 2019, Pitot tube measure stagnation pressure and in this point velocity are zero.



1415. Capillary rise of water is
	Robin, 2017, Capillary rise inversely proportional to the surface tension because surface tension because of cohesion only and capillary inversely proportional to cohesion.
	Inte, 2018, H=2*surfacr tension *cos(θ) &div; ρ * g * r. $% Where r=radius of the tube.
	Deepak, 2019, h = 4sigmacos(θ)/wd.



1416. A water tank partially filled with water is being carried on a truck moving with a constant horizontal acceleration. The level of the water
	Arush, 2017, Why? $%  $% Given explanation.
	Arush, 2017, Or tank is inclined.
	Rohan, 2018, Option C is correct. $%  $% Since truck is moving with constant acceleration it is representing Uniform flow situation.
	Nuzvid, 2019, Option C is correct. $%  $% Since the truck is moving with constant acceleration it is representing Uniform flow situation.
	Surendra, 2019, C is correct as the truck is moving in constant horizontal acceleration.
	Vikas Prajapati, 2019, I think there may be inertia concept. As a truck moving in a forward direction inertia will act opposite to it and water level rises on back side.
	Vikash, 2020, @All  $%  $% Given answer is correct:  $% ax =a and az= 0 then dz/DX = -ax/az+g becomes -ax/az ie opp to the slope of free liquid surface.
	Yogesh, 2020, For constant velocity the water level same on both sides. But at constant acceleration velocity changes equally per unit time. That push the liquid back.
	Hamza, 2021, Option D is correct, because the truck is moving with constant acceleration, and acceleration means rate of change of velocity.



1417. The dimensional formula of force is
	Abhi, 2016, Force = Mass * Acceleration. $%  = kg * m/s^2. $%  = M*L/T^2. $%  = MLT^-2.
	Parashuram Kagi, 2016, Force = mass*acceleration. $% Acceleration = change in velocity/time. $% velocity = displacement/time. $%  $% Now, v=L/T=LT^-1. $%      a=V/T=LT^-1/T=LT^-2. $%  $% Therefore dimension formula for force is = MLT^-2.
	Pranab Sutradhar, 2019, Force = Mass * Acceleration.



1418. An error of 1% in measuring the head of water over the crest of a rectangular weir, produces an error in the discharge which is equal to
	Biswadut, 2017, dQ/Q = 1.5*dH/H. $% Here dQ/Q is the error in discharge of a rectangular weir and dH/H is the error in head. $% So here dQ/Q = 1.5%. $% In case of the triangular weir equation would be dQ/Q = 2.5 * dH/H.
	Laxman, 2017, Simply 2/3 for rect, 5/2 for triangle. $%  $% Clearly said @Biswadut.
	Priyanka, 2019, 3/2 for rectangle & 5/2 for triangle.
	Deepak, 2019, Good, thanks @Priyanka.



1419. Orifice-meter is used to measure
	Basw, 2020, Please explain it.
	Baswaraj, 2020, Orifice meter to measure in Rate of flow.



1420. Pick up the correct statement from the following :
	Iwansh, 2017, How option B is correct? Explain.
	Arjun, 2018, Please Explain.



1421. The ratio of inertia force of a flowing fluid and the viscous force of the liquid is called :



1422. For an irrotational flow, the equation  is given by



1423. Water belongs to
	Zakir, 2018, In water, shear stress is directly proportional to rate of shear strain.
	Ismaeel, 2019, Please anybody explain it.
	Hisham, 2020, Water may be taken as an ideal fluid. Ideal fluids are non-newtonian.
	Ali, 2020, A classic Newtonian fluid is a water. Water has a very predictable viscosity and will always flow predictably regardless of the forces acting on it. Newtonian fluids also have predictable viscosity changes in response to temperature and pressure changes.



1424. Hydraulic radius is equal to
	Gurjar, 2020, Hydraulic radius = Area/wetted perameter.



1425. The discharg formula Q = Cd √2gH x A is used for rectangular
	Navya, 2017, It is small orifices.
	Pratistha Pokhrel, 2017, For large orifice we have to integrate from h1 to h2.
	Harish, 2017, Yes, this is for small orifice.
	Puni, 2017, This is for small orifice.
	Niraj Kumar, 2017, It will be small orifice.
	Jdsinh, 2018, A small orifice is correct. $%  $% Because large orifice is 2/3cd underoot 2gh h^2/3.
	Rohit, 2019, No, it is for a small orifice.
	Saurabh, 2019, It is for small orifice.
	Pijush Mal, 2020, The right answer will be a small rectangular office.
	Mjm, 2021, The Right answer should be (A).



1426. Chezy's constant  is suggested by



1427. The acceleration f required to accelerate a rectangular tank containing water horizontally so that the slope of its free surface is 45°, is
	Amardeep, 2016, Tan45 = a/g. $% 1 = a/g. $%  $% Hence, a = g.
	Monu, 2017, Thanks @Amardeep.
	Gautam, 2017, Thanks @Amardeep.
	Muhammad Saqib, 2019, Thanks @Amardeep.
	Zeeshan, 2020, Thanks for explaining @Amardeep.
	Pkota, 2021, Can anybody explain the concept in detail?



1428. Pick up the correct statement from the following :



1429. For solving network problems of pipes, necessary condition is



1430. In a fluid flow a particle may posses



1431. In two dimensional flow the components of velocity are given by u = ax; v = by. The stream lines will be
	Anup, 2017, It must be B) Parabolic.
	Harika, 2017, B) parabolic is correct Answer.
	Navneet, 2017, Here it is asked for stream lines.
	Shiva, 2017, Which one is correct? Explain.
	Govind, 2018, Which is the correct option B or C?
	Sajith, 2018, Please explain this.
	Aryan, 2019, Parabolic is right. $%  $% Ref: R.S Khurmi.
	Zara, 2020, I think we have to integrate u and v wrt x and y to get stream function and the equation obtained is a second degree which means parabolic.
	Suri Bhai, 2020, Yes, parabolic is right.
	Ali Ejaz, 2020, It should be PARABOLIC.
	Nabin, 2021, Equation of streamline is given by: $%  $% udy " vdx = 0 $%  $% (\frac{{dx}}{u} = \frac{{dy}}{v} \Rightarrow \frac{{dx}}{{ax}} = \frac{{dy}}{{by}} \Rightarrow b\frac{{dx}}{x} = a\frac{{dy}}{y}\) $%  $% Integrating both sides: $%  $% b ln x = a ln y + C $% ln xb = ln ya + C $% ln xb - ln ya = C $% (ln \frac{{{x^b}}}{{{y^a}}} = c\) $% xby-a = C1 $% which is hyperbolic arcs.



1432. The discharge through a V-notch weir varies as
	Gagan Garg, 2015, Correct answer is H power 5/2.
	Ashok, 2016, Yes correct answer is h power 5/2.
	Rashid Atif Khan, 2016, Yes, the correct answer is option E) H power 5/2.
	Henry, 2016, Option E, I should think it varies directly proportional to that.
	Rp Singh, 2016, I too agree that E is the correct answer.
	Manish, 2016, Option E is correct.
	Srinivas, 2016, Yes, Option E is the correct answer.
	Deepak Kandpal, 2017, Yes, the correct answer should be H^ 5/2.
	Gopal Krishan, 2017, I too think the correct answer is H^ 5/2.
	Bhoj Raj Rijal, 2017, H^5/2 is right answer.
	Ravikant, 2017, Yes, Option E is correct.
	Rupak Kumar, 2017, Out of these options, the correct choice is (E).
	Sherien, 2017, H power 5/2 is the correct answer.
	Rathod, 2017, It is 3/2 to for rectangular weir.
	Puni, 2017, It is H power 5/2.
	Anand, 2017, It is h^5/2.
	Sumer, 2017, h^5/2 is Correct.
	Ramavtar, 2017, True is H power 5/2.
	Ramavtar, 2017, In rectangular notch H power 3 by 2 and triangular V notch H power 5 by 2.
	Roy, 2017, E is the correct answer.
	Sonu, 2017, E is the correct answer.
	B Vaghela, 2018, Option E is correct.
	Surender, 2018, Option D is the correct answer. I agree with the given answer.
	Shashi Kant, 2018, According to me, Option E is correct.
	Ram, 2018, How E? Please explain.
	Vishal, 2018, Option E is correct.
	Vicky, 2018, Can anyone explain how option E is the right answer?
	Saeed, 2018, 8/15 cd √ 2g*H^5/2. $%  $% This is formula of v notch so where is 7/2.
	Paris, 2019, Discharge = area * velocity = h^5/2 * h = H^7/2.
	Rajeev, 2019, H^5÷2 is the correct one.
	Shyam Gajjelli, 2020, For rectangle it is H^3/2. $%  $% And for triangle section it is H^5/2. $%  $% But no where the derivation given H^7/2.
	Khattak Khan, 2021, The Correct option is E.



1433. For a most economical rectangular channel, the hydraulic mean depth, is equal to
	N.Ganesh Raju, 2016, For the most economical rectangular section, hydraulic depth = D =A/T; B * Y/B = Y;  $%  $% Here B=2Ye for the economical section.
	N.Ganesh Raju, 2016, For the most economical rectangular section, hydraulic depth = D =A/T; B * Y/B = Y;  $%  $% Here B=2Ye for the economical section.
	Manish Chaurasiya, 2021, I think Option A is correct.



1434. The instrument used for measuring the velocity of flow, is known as
	Rathod, 2017, A venturi meter is a flow measuring instrument which uses a converging section of pipe to give an increase in the flow velocity and a corresponding pressure drop from which the flow rate can be deduced. They have been in common use for many years, especially in the water supply industry. $%  $% An orifice meter or orifice plate is a flat plate having a central hole that is placed across the flow of a liquid, usually between flanges in a pipeline. The pressure difference generated by the flow velocity through the hole enables the flow quantity to be measured.



1435. For a long pipe, the head loss
	Aashish Rastogi, 2016, For a short pipe head loss due to friction is considered but for long pipe head loss due to friction is ignored.
	Tyy, 2017, Frication considers in a long pipe. $%  $% Head loss at exit & entrance in short pipe.
	Mangesh Bagde, 2018, Correct answers is D. $%  $% Loss due to friction is ignore.
	R K Bansal, 2020, Option C is correct. $%  $% Since, $%  $% For a long pipe, minor losses are ignored and as we all know loss at the entrance, exit etc are minor losses. $%  $% The only major loss we consider is friction.
	Harinder, 2020, Right @RK Bansal. $%  $% We cannot ignore major loss i.e. friction loss in a long pipe.



1436. On a flow net diagram, the distance between two consecutive steam lines at two successive sections are 1 cm and 0.5 cm respectively. If the velocity at the first section is 1 m/sec, the velocity at the second is
	Muthulakshmi, 2013, Velocity is inversely proportional to cross sectional area.
	Ranjan Patra, 2016, A1 X V1 = A2 X V2, $% Then, V2 = 2.00.
	Ilyas, 2019, Please elaborate the answer.
	Saan Alex, 2020, (1*1)V1 = (0.5*1)v2. $%  $% We have to consider 1 unit width here. So the cross-sectional area will be as shown above.
	Nani, 2020, By continuity equation A1V1=A2V2.  $% 1*1 = 0.5*V2 $% 1/0.5 = V2 $% 1/1/2 = V2 $% 2 = V2.
	K. Ramya Sri, 2021, It's good. Thanks all for explaining.



1437. If L, D and f are the length, diameter and coefficient of friction of a pipe, the ratio of the areas of the pipe A and nozzle a, to transmit maximum power, is
	Anshu Singh, 2017, d = (D^5/8fL)^(1/4). $% A=√d^2/4. $%  $% Take ratio.



1438. The flow is called rotational if its velocity normal to the plane of area is equal to
	Tomz, 2016, How is it?
	Anu, 2017, How? Please explain.
	Aadarsh, 2019, Vortex = 2w.
	Rj Yadav, 2019, How? Explain it.
	Rj Yadav, 2019, How? Explain it.
	Nitin, 2019, Vorticity = 2 * angular velocity.



1439. Flow of water in pipes of diameter more than 3 metres, can be measured by
	Iwansh, 2017, How? Explain.
	Jiren, 2017, The answer is Option B.
	Akhilesh Yadav, 2017, Pitot tube is the correct answer.
	Rahul, 2017, Orifice plate is the correct answer.
	Roy, 2017, Pitottube is correct.
	Dipen, 2018, How? Explain it.
	Dipen, 2018, How? Explain.
	Ravi, 2018, Pitot tube is the correct answer.
	Utsav, 2018, Pitot tube measures velocity not discharge. $%  $% So, Rotameter could be the correct answer.
	Nilesh, 2018, Orifice plate is the correct answer.
	Manjunath, 2019, I think the Pitot tube is correct.
	Tiru, 2019, It's by pitot tube. It gives velocity then find discharge as velocity*area.
	Fasil, 2020, Flow in 3 m dia is measured by pitot tube. But more than 3 m dia measured by the rotameter. Hence the given answer is correct
	Z Reki, 2020, With the help of pitot tube, we measure the velocity and as the diameter of the pipe is known we find the area. Multiply velocity and area to get flow rate in metre cube per second. If you want in kg/sec multiply discharge with a density of water. Rotameter requires float and tube but such size of tube and rotameter is not economical to construct. Orifice meter consists of a plate with a hole but it is not economical to have a 3 meters dia orifice plate. By considering the above pitot tube is considered to be most economical.



1440. The pressure variation along the radial direction for vortex flow along a horizontal plane is related by
	Hisham, 2020, Forced or free vortex not mentioned.



1441. Hydraulic grade line
	Gurpreet Singh, 2017, No, the answer should be A.
	Roy, 2017, Depending on the elevation of the hydraulic grade line at the downstream end of the subject run, it is possible to have the hydraulic grade line rise above the top of the conduit. That is, the conduit is under pressure until, at some point upstream, the hydraulic grade line is again at or below the level of the soffit of the conduit.
	Sagara Sethi, 2021, What is grade line?
	Nabin, 2021, HGL is below the center line of conduit in the case of syphon so (D) is the correct answer.



1442. If the Mach number for a fluid flow is less than 1, the flow is
	Sodam Manohar, 2017, Mach number Less than 1 is sub sonic. $% Mach number Equal to 1 is sonic. $% Mach number Greater than 1 is sonic.
	Har, 2017, Subsonic Flow: When the fluid velocity is lower than the acoustic speed (M<1) then the fluid flow is called as subsonic. However Mach number of the flow changes while passing over an object or through a duct. Hence for simplicity, flow is considered as subsonic if Mach number is in the range of 0-0. 8. All small amplitude disturbances travel with acoustic speed and speed of the flow in the subsonic regime is less than acoustic speed hence presence of the disturbance is felt by the whole fluid domain. Therefore subsonic flow is pre-warned or prepared to face the disturbance. $%  $% Transonic flow: When the flow Mach number is in the range 0. 8-1. 2 it is called transonic flow. Highly unstable and mixed subsonic and supersonic flows are the main features of this regime. $%  $% Sonic flow: When flow Mach number is 1 it is called sonic flow. $%  $% Supersonic Flow: When the flow Mach number is more then everywhere in the domain then it is called as supersonic flow. This flow is not pre-warned since the fluid speed is more than the speed of sound. $%  $% Hypersonic Flow: As per the thumb rule, when the flow Mach number is more than 5 then it is called as hypersonic flows. This is not the fixed definition for hypersonic flow since hypersonic flow is defined by certain characteristics of flow.
	Sneha, 2017, M<<<1-ultrasonic. $% M<0.4-COMPRESSIBILITY is neglected. $% M<1.1-transonic. $% M<1- subsonic. $% M=1-sonic. $% M>1 supersonic. $% M>5- hypersonic.



1443. Hydraulic coefficient of an orifice means the coefficient of



1444. The minimum specific energy of flow of water in open channel is : (where hc is the critical depth)
	Dave, 2017, How? Explain the answer.
	Pandian, 2018, Ec ( specific Energy) = 3/2 yc (critical depth). $% Yc = 2/3 Ec.
	Jadeja Mahipalsinh, 2019, This is for rectangular channel only. $%  $% If it is a triangular channel than it is 1.25 hc.
	Papu, 2019, There is no mention about which type of flow.
	Dipu Bunku Rose, 2020, They don't say weather it is rectangular or circular so a will be the answer.



1445. In a venturimeter, the divergent cone is kept
	Kokate G.  M., 2018, Shorter than convergence cone. $%  $% Convergence 21. $% Divergence 6_7. $% Option is A.
	Inte, 2018, Answer is correct as divergent cone angle is kept smaller than convergent cone but length of divergent is longer than convergent cone.
	Rishu, 2018, The correct Option should be A.
	A Singh, 2018, Option A is the correct answer.



1446. Specific weight of sea water is more than that of pure water because of
	Deepak, 2018, The correct Answer should be B.



1447. Total pressure on the top of a closed cylindrical vessesl completely filled with liquid, is directly proportional to
	Sekhar, 2016, How it is?
	Pookannarao, 2016, Explain the solution.
	Kublai, 2017, How? Explain.
	Naveen Kallan, 2017, P = π*w^2*W*r^2/4g. $%  $% So ans is radius^2.
	Ramavtar, 2017, I think r^2 (parabolic) but in books r^4  just copy of R. Agor book.
	Kunwar Singh Gurjar, 2017, Pressure =r^2 and force =r^4.
	Inte, 2018, P= ρ * ω ^2 * π * r^4/4. $%  $% So the answer is correct.



1448. Energy equation is usually applicable to
	Jay Brahmabhatt, 2017, It's applicable for steady flow because according to Bernoulli's energy equation state that "the sum of total energy remains constant along stream line".



1449. Poise is the unit of
	Har, 2017, The velocity gradient and near bank shear stress are often related to BEHI ratings. Velocity gradients have units of ft/sec per ft, or changes in velocity with distance. Gradients noted by Level III analysis are: < 0.5 ft/sec/ft. $%  $% mass density:The SI unit of kilogram per cubic metre (kg/m3). $%  $% The SI unit of kinematic viscosity is m2/s.



1450. For mountaneous regions having steep slope, wagons for carrying liquid are made with bottom



1451. Specific energy of a flowing fluid per unit weight is
	Pranjal Patel, 2017, Ans should be A. $%  $% Cause p/w=y =pressure head. $% Specific energy=pressure head + velocity head.
	Inte, 2018, Given Answer is correct as SP, $%  $% Energy = kinetic energy of flow +potential energy flow.
	Uttu, 2018, Flowing fluid doesn't exert pressure? Please tell me.
	Rakesh Mahendra, 2021, Specific energy = y +(v^2/2g).



1452. The upper surface of the weir over which water flows, is known as
	Atul Patel, 2017, Sill or Crest.
	Civilbeing, 2018, Crest is the uppermost surface of water flowing above the weir. $%  $% Sill is the uppermost surface of the weir.
	Rabindra, 2018, Sill or is the bottom edge of a notch or a top of a weir over which water flows.
	Anand, 2018, Nappe is called upper surface of water flow.
	Rchl, 2019, Upper surface is nappe. $%  $% Lower surface is sill.
	Kabin Stha, 2020, Sill or creast? Tell me the correct answer.
	Elio, 2020, @Kabin:. $%  $% Sill or Crest is upper and Nappe is lower than sill.
	Dilbandhu Yadav, 2021, Sill or crest both are right.
	Divakar M, 2021, The sheet of water flowing through a notch or over a weir is known as nappe or vein. The bottom edge of the notch or the top of a weir over which water flows is known as sill or crest. The height above the bottom of the tank or channel is known as crest height.



1453. The ratio of the inertia and viscous forces acting in any flow, ignoring other forces, is called



1454. Discharge with velocity of approach, over a rectangular weir is



1455. To avoid the tendency of separation of liquid flow, the most suitable ratio of the diameters of the throat and the pipe, is
	Deepu, 2019, I think option C is right.
	Yashika, 2019, No my dear @Deepu given option is correct. $%  $% I have checked.
	Mukesh, 2020, Option C is right.
	Khattak Khan, 2021, Although the desirable ratio of throat diameter and pipe diameter lies between 1/3 to 3/4. $%  $% The most appropriate option is 0.33 (1/3) to 0.5 (1/2) as the energy losses would minimize if the area difference is minimized.



1456. In a liquid limit test, the moisture content at 10 blows was 70% and that at 100 blows was 20%. The liquid limit of the soil, is
	Ashirwad, 2013, Liquid limit is defined as the moisture content at which a groove made in a pat of soil will flow through a distance of 13mm under an impact of 25 blows. Using linear interpolation with the help of flow curve we can get the above.
	Pratima Yadav, 2013, Liquid Limit= W * (N/25)^0.121. $%  $% where, $%  $% W= water content at N blows. $% N= no.of blows.
	Apoorv, 2013, We can find the flow index 1st using. $%  $% I = (w1 - w2)/log(n2/n1) and then find the water content corresponding to the 25 blows using this flow index value.
	Ravi Verma, 2013, Just simply apply interpolation with 25 blows.
	Ashish   Waghmare, 2013, STEP1: just draw the rough graph on which, no. of blows on X-axis and moisture content on Y-axis.  $%  $%     80%. $% M C 70%.  .A(10,70%) $% O O 60%.            $% I N 50%.                     $% S T 40%. $% T E 30%. $% U N 20%.                             .B(100,20%)  $% R T 10%.   $% E(%)0% .  .  .  .  .  .  .  .  .  .  .  .   $%        0 10 20 30 40 50 60 70 80 90 100 110 $%                  NO. OF BLOWS $%  $% STEP2: Join the coordinates A and B. $%  $% STEP3: draw the vertical line from 25 no. of blows to the line AB and mark it. $%  $% STEP4: Draw horizontal line from the marked point on line AB To the pt. on Y-axis, that same will give us the liquid limit of soil sample(ie. 65%).  $%  $% (NOTE: ALL STEPS ARE TAKEN FROM EXPERIMENT OF DETERMINATION OF LIQUID LIMIT BY USING LIQUID LIMIT DEVICE)
	Sagar Shah, 2013, If we use flow index than the answer coming is 50. And plot shall be along log scale wouldn't rough idea from that be wrong?
	Sharda Charan, 2014, Given; $%  $% n1=10;  w1=70%. $% n2=100;  w2=20%. $%  $% Flow index (I)=(w1-w2)/log(n2/n1) = 50;. $% wL = Ilog(n2/25)+w2;. $% wL = 50.10%.
	V Ramesh, 2014, Liquid Limit= W * (N/25)^0.121. $%  $% where, $%  $% W= water content at N blows. $% N= no.of blows. $%  $% Liquid limit = 70*(10/25)^0121 = 89.55%. $% Liquid Limit = 20*(100/25)^0.121 = 23.65%. $% required liquid limit = 88-23 = 65%.
	Pappu, 2014, Liquid limit is define as water content at which the soil possesses an arbitrarily fixed small amount of shear strength.
	Mudassir Abbas, 2014, Just interpolate it on semi log graph paper. i.e No.of blows on logarithmic x-axis and m.c on y-axis and then find LL along 25 blows.
	Ashok, 2014, Please anyone explain the proper and simple definition of the liquid limit?
	Priya, 2014, The arbitrary limit of water content that represents the boundary between the liquid & plastic state is called as liquid limit.
	Amar Deep Tiwari, 2014, Liquid Limit = (20-70)/(100-10) = (LL-70)/(25-10). $%  $% So, LL = 61.67%.
	Adsam Gideon, 2014, I tried it again and again, I got 50% as answer some one please clarify.
	Butera, 2014, How do you get 89.55%?
	Pankaj, 2014, Try it with coordinate geometry. $%  $% My answer is 63.33%.
	Vishal Singh, 2015, As per graph it comes near 65% and as per flow index its value come 50.10%. $%  $% Please anyone explain right one method.
	Ankit Joshi, 2015, I have a question to @Mr. V. Ramesh that how 89.55 becomes 88 and 23.65 becomes 23?
	K S Chetan, 2015, Hello @Mr.V Ramesh.  $%  $% How come it possible Liquid limit = 70*(10/25)^0121 = 89.55%?
	Vasundhara, 2015, I got 61.65% any one explain how it is 65%?
	Dipak, 2015, By interpolation wL = 61.67. $% By flow index method wL= 50.
	Rahul Singh, 2015, Please clarify the answer.
	Swarnanka Das, 2015, We can get it from flow index value, I. $%  $% n1 = 10; w1 = 70%. $% n2 = 100; w2 = 20%. $%  $% Flow index (I) = (w1-w2)/log(n2/n1) = 50; $%  $% wL = Ilog (n2/25)+w2; $%  $% log(2) = 0.301. $%  $% wL = 50.10%. $%  $% OPTION B.
	Mantu Kumar Patel, 2015, We can solve it by one point method formula of liquid limit determination.  $%  $% W1=Wn (N/25) ^n where, value of n is 0.12. $%  $% Liquid Limit = W*(N/25)^0.121. $%  $% Where, $%  $% W = water content at N blows. $%  $% N = no. of blows. $%  $% Liquid limit = 70*(10/25)^0121 = 89.55%. $%  $% Liquid Limit = 20*(100/25)^0.121 = 23.65%. $%  $% Required liquid limit = 88-23 = 65%.
	Aakash Karoo, 2015, STEP 1: Just draw the rough graph on which, no. of blows on X-axis and moisture content on Y-axis. $%  $% STEP 2: Join the coordinates A (20, 70) and B (100, 20). $%  $% STEP 3 : Draw the vertical line from 25 no. of blows to the line AB and mark it. $%  $% STEP 4 : Draw horizontal line from the marked point on line AB to the point on Y-axis, that same will give us the liquid limit of soil sample (i.e. 65%). $%  $% OR, $%  $% Liquid Limit = Wl1 = W1*(N2/25)^0.121. $%  $% Wl2 = W2*(N1/25)^0.121. $%  $% Where, $%  $% W = Water content at N blows. $% N = No. of blows. $%  $% Liquid limit = 70*(100/25)^0.121 = 82.78%. $%  $% Liquid Limit = 20*(10/25)^0.121 = 17.90%. $%  $% Required liquid limit = 82.78-17.90 = 64.87%. $%  $% = 65.00%.
	Moha Cool, 2015, @Aakash karoo.  $%  $% Your simple steps helped me get the right answer which is 65%, the graph part is actually much easier! $%  $% Thanks.
	Masud, 2015, W1 = 70, N1 = 10, W2 = 20, N2 = 100, W3 = ?, N3 = 25. $%  $% W1-W2/N1-N2 = W2-W3/N2-N3 => 70-20/10-100 = 20-W3/100-25- => 50/-90 = 20-W3/75 => W3 = 61.66%.
	Masud, 2015, W1 = 70, N1 = 10, W2 = 20, N2 = 100, W3 = ?, N3 = 25. $%  $% W1-W2/N1-N2 = W2-W3/N2-N3 => 70-20/10-100 = 20-W3/100-25- => 50/-90 = 20-W3/75 => W3 = 61.66%.
	Ishita Bhatnagar, 2015, First the graph between water content and the corresponding number of blows is NOT a straight line! when the points are plotted on a SEMI LOG graph, that is, water content versus log (N), where N = no. of blows required to close the 2 mm groove at that water content, this water content versus log (N) plot comes out to be a STRAIGHT LINE!  $%  $% Hence the answer according to flow index will be the same as got from the semi log graph using interpolation. Because remember interpolation is valid only as long as the two quanties have a linear relationship!. Hence answer should be 50.1%. $%  $% As far as the one point method is concerned, this method is used only when only one measurement is given to you.
	Mayank, 2015, Correct answer is 50.1. $%  $% Simply use equation ll = -if(logx)+c. $%  $% Two equation, two unknown, solve it you will get ll = 50.1.
	Masoom, 2015, 50.1 is the correct answer, if solved by semi-log graph method. And this method is proper method to solve.
	Sukriti Dan, 2016, As per flow index method I get 50.10. By the interpolation I get 61.6. But LIQUID LIMIT = Wn (N / 25)^n, I get 65.
	Sravya Iiit Basara, 2016, No, the answer is wrong.
	Ammar, 2016, Wrong answer. $%  $% By linear interpolation, for blows 25 find L L. $%  $% L. L = 61%.
	Rahul R K, 2016, Why all of them are taking the difference between liquid limit for 10 and 100 Nos of blows?
	Ganesh Jadhav, 2016, I think the one point method is not valid rather not necessary because two points are given for example.
	Shubham, 2016, Why the graph is a straight line only?
	Maharnur Ajit Prakash, 2016, Please tell me, why we have to give 25 blows for to find the liquid limit of soil?
	Pushkar Goyal, 2016, Since liquid limit is limit corresponding to 25 nos of blow. Hence by solving it through interpolation I am getting 61.66%. By which the answer should be D Option. $%  $% Am I right?
	Akshat Man, 2016, We can also use w(n/25)^0,21.
	Kumar, 2016, How it will be 70 * (10/25)^.121 = 89.58?
	Varsha, 2016, Interpolation technique is very simple & easily understand to solve this..
	Pradeep, 2017, Moisture content 10 blows 20%. $% Moisture content 100 blows 70%. $% Answer is 65%.
	Harendra, 2017, According to me, it is 61.70%.
	M Badra, 2017, By interpolating the value for 25 blows the moisture content will linearly decrease up to 61.7%. Hence my answer is 61.7.
	Ritesh, 2017, According to me, $%  $% By using the method of interpolation, my answer is 50.10.
	Lokesh, 2017, 61.7 is the correct answer, So it is option D.
	Siva, 2017, Why should we take the liquid limit value at 25 blows only? If there any relation, please explain it.
	Suman Ghosh, 2017, Answer 50% is correct.   $%  $% W = - I log N + C. $% W = water content , I = flow index, N= no of blow. $%  $% Put value of w & N for both 70% & 20%,  then results will be, I=50 & C=120. Now w= -50*log 25 + 120 = 50.1.
	Harshdeep, 2017, Simply take x= 0.068. $% and WL = Wn (N&div;25)^x . $% WL =  70 (10&div;25 )^0.068 =  68.77 approx 65.
	Alekhya, 2017, Water content at 25 blows gives you the liquid limit. $%  $% Just interpolate the given values for 25 blows. You get the answer as 65.
	Brijesh Singh Satyal, 2017, Flow index = -(W2-W1) / ln(N1/N2). $%  $% From the given data, it comes out to be 50.
	Amit Kumar, 2017, Plot it on semilog graph and find water contentbfor 25 blow.
	Madhur, 2017, Answer is B, why are you taking the difference between 100 and 10 values?
	Bikashbiru, 2017, Yes, I agree @Ramesh.
